label,text
ham,Cool. So how come you havent been wined and dined before?
ham,Huh so late... Fr dinner?
ham,my ex-wife was not able to have kids. Do you want kids one day?
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham,Ryder unsold.now gibbs.
ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! 
ham,Ok set let u noe e details later...
ham,Anything lar then ï¿½_ not going home 4 dinner?
ham,Bring tat cd don forget
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
ham,He telling not to tell any one. If so treat for me hi hi hi
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
ham,Yes we are chatting too.
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
ham,7 lor... Change 2 suntec... Wat time u coming?
ham,Aiyah then i wait lor. Then u entertain me. Hee...
ham,When you guys planning on coming over?
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe
ham,Is toshiba portege m100 gd?
ham,Lol ok. I'll snatch her purse too.
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
ham,How much is torch in 9ja.
ham,I am not having her number sir
spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
ham,We got a divorce. Lol. She.s here
ham,Are you still getting the goods.
ham,K da:)how many page you want?
ham,Still in customer place
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
ham,Tell rob to mack his gf in the theater
ham,Long time. You remember me today.
spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
ham,"Maybe westshore or hyde park village, the place near my house?"
ham,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp ï¿½1.50/msg
ham,You still at the game?
ham,Send his number and give reply tomorrow morning for why you said that to him like that ok
ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
ham,K.k:)when are you going?
ham,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?"
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
ham,"St andre, virgil's cream"
ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.
ham,I'm at work. Please call
ham,Yup ok thanx...
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
ham,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
ham,"Just making dinner, you ?"
ham,Haha... Hope ï¿½_ can hear the receipt sound... Gd luck!
ham,How was txting and driving
ham,I just really need shit before tomorrow and I know you won't be awake before like 6
ham,If you have belive me. Come to my home.
ham,"Didn't try, g and I decided not to head out"
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
spam,"For ur chance to win ï¿½250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
ham,Water logging in desert. Geoenvironmental implications.
ham,"K I'm leaving soon, be there a little after 9"
ham,Dear got bus directly to calicut
ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am
spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
ham,Enjoy urself tmr...
ham,"G says you never answer your texts, confirm/deny"
ham,I dont thnk its a wrong calling between us
ham,Hanging out with my brother and his family
ham,I'm always looking for an excuse to be in the city.
ham,No..its ful of song lyrics..
